id,season,team1,team2,result,target,team2_score,balls_30,team2_30_rn,team2_30_wk,team2_30_ach,balls_60,team2_60_rn,team2_60_wk,team2_60_ach,balls_90,team2_90_rn,team2_90_wk,team2_90_ach,dl_applied,winner,win_by_runs,win_by_wickets,team2_win,dls_5,dls_10,dls_15
1,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,normal,208,172,90,48,0,124,60,98,2,74,30,139,5,33,0,Sunrisers Hyderabad,35,0,0,1,1,0
2,2017,Mumbai Indians,Rising Pune Supergiant,normal,185,187,90,43,1,144,60,93,1,94,30,139,2,48,0,Rising Pune Supergiant,0,7,1,1,1,1
3,2017,Gujarat Lions,Kolkata Knight Riders,normal,184,184,90,53,0,131,60,116,0,68,30,184,0,0,0,Kolkata Knight Riders,0,10,1,1,1,1
4,2017,Rising Pune Supergiant,Kings XI Punjab,normal,164,164,90,48,1,116,60,73,2,91,30,128,4,36,0,Kings XI Punjab,0,6,1,1,1,1
5,2017,Royal Challengers Bangalore,Delhi Daredevils,normal,158,142,90,37,1,105,60,79,3,63,30,113,6,29,0,Royal Challengers Bangalore,15,0,0,1,1,0
6,2017,Gujarat Lions,Sunrisers Hyderabad,normal,136,140,90,48,1,92,60,89,1,51,30,131,1,9,0,Sunrisers Hyderabad,0,9,1,1,1,1
7,2017,Kolkata Knight Riders,Mumbai Indians,normal,179,180,90,44,0,136,60,74,3,106,30,115,4,65,0,Mumbai Indians,0,4,1,1,0,0
8,2017,Royal Challengers Bangalore,Kings XI Punjab,normal,149,150,90,50,0,100,60,97,2,53,30,150,2,0,0,Kings XI Punjab,0,8,1,1,1,1
9,2017,Delhi Daredevils,Rising Pune Supergiant,normal,206,108,90,38,2,70,60,68,5,40,30,106,8,2,0,Delhi Daredevils,97,0,0,0,0,0
10,2017,Sunrisers Hyderabad,Mumbai Indians,normal,159,159,90,42,2,117,60,85,3,74,30,121,4,38,0,Mumbai Indians,0,4,1,1,1,1
11,2017,Kings XI Punjab,Kolkata Knight Riders,normal,171,171,90,60,0,111,60,116,2,55,30,157,2,14,0,Kolkata Knight Riders,0,8,1,1,1,1
12,2017,Royal Challengers Bangalore,Mumbai Indians,normal,143,145,90,18,4,127,60,48,5,97,30,91,5,54,0,Mumbai Indians,0,4,1,0,0,0
13,2017,Rising Pune Supergiant,Gujarat Lions,normal,172,172,90,46,0,126,60,96,1,76,30,133,3,39,0,Gujarat Lions,0,7,1,1,1,1
14,2017,Kolkata Knight Riders,Sunrisers Hyderabad,normal,173,155,90,39,0,116,60,59,2,96,30,113,5,42,0,Kolkata Knight Riders,17,0,0,1,0,0
15,2017,Delhi Daredevils,Kings XI Punjab,normal,189,137,90,33,3,104,60,64,4,73,30,103,6,34,0,Delhi Daredevils,51,0,0,0,0,0
16,2017,Gujarat Lions,Mumbai Indians,normal,177,177,90,47,1,130,60,89,2,88,30,132,3,45,0,Mumbai Indians,0,6,1,1,1,1
17,2017,Rising Pune Supergiant,Royal Challengers Bangalore,normal,162,134,90,39,1,95,60,67,2,67,30,92,4,42,0,Rising Pune Supergiant,27,0,0,1,1,0
18,2017,Delhi Daredevils,Kolkata Knight Riders,normal,169,169,90,34,3,135,60,88,3,81,30,135,4,34,0,Kolkata Knight Riders,0,4,1,0,1,1
19,2017,Sunrisers Hyderabad,Kings XI Punjab,normal,160,154,90,32,2,122,60,62,5,92,30,104,6,50,0,Sunrisers Hyderabad,5,0,0,0,0,0
20,2017,Royal Challengers Bangalore,Gujarat Lions,normal,214,192,90,48,2,144,60,103,3,89,30,139,5,53,0,Royal Challengers Bangalore,21,0,0,0,1,0
21,2017,Sunrisers Hyderabad,Delhi Daredevils,normal,192,176,90,47,1,129,60,87,3,89,30,127,4,49,0,Sunrisers Hyderabad,15,0,0,1,1,0
22,2017,Kings XI Punjab,Mumbai Indians,normal,199,199,90,68,0,131,60,123,1,76,30,191,2,8,0,Mumbai Indians,0,8,1,1,1,1
23,2017,Kolkata Knight Riders,Gujarat Lions,normal,188,188,90,62,1,126,60,99,3,89,30,146,5,42,0,Gujarat Lions,0,4,1,1,1,1
24,2017,Mumbai Indians,Delhi Daredevils,normal,143,128,90,21,4,107,60,57,6,71,30,91,6,37,0,Mumbai Indians,14,0,0,0,0,0
25,2017,Sunrisers Hyderabad,Rising Pune Supergiant,normal,177,179,90,37,1,142,60,83,1,96,30,115,3,64,0,Rising Pune Supergiant,0,6,1,1,1,1
26,2017,Kings XI Punjab,Gujarat Lions,normal,189,162,90,43,1,119,60,82,3,80,30,121,6,41,0,Kings XI Punjab,26,0,0,1,0,0
27,2017,Kolkata Knight Riders,Royal Challengers Bangalore,normal,132,49,90,28,4,21,60,49,10,0,30,49,10,0,0,Kolkata Knight Riders,82,0,0,0,0,0
28,2017,Rising Pune Supergiant,Mumbai Indians,normal,161,157,90,35,1,122,60,68,3,89,30,113,4,44,0,Rising Pune Supergiant,3,0,0,1,0,1
29,2017,Rising Pune Supergiant,Kolkata Knight Riders,normal,183,184,90,38,1,146,60,101,1,83,30,159,1,25,0,Kolkata Knight Riders,0,7,1,1,1,1
30,2017,Royal Challengers Bangalore,Gujarat Lions,normal,135,135,90,38,2,97,60,89,2,46,30,135,3,0,0,Gujarat Lions,0,7,1,1,1,1
31,2017,Delhi Daredevils,Kolkata Knight Riders,normal,161,161,90,36,1,125,60,101,1,60,30,140,3,21,0,Kolkata Knight Riders,0,7,1,1,1,1
32,2017,Sunrisers Hyderabad,Kings XI Punjab,normal,208,181,90,42,3,139,60,76,3,105,30,138,5,43,0,Sunrisers Hyderabad,26,0,0,0,0,0
33,2017,Rising Pune Supergiant,Royal Challengers Bangalore,normal,158,96,90,33,2,63,60,49,5,47,30,71,7,25,0,Rising Pune Supergiant,61,0,0,0,0,0
34,2017,Gujarat Lions,Mumbai Indians,tie,154,153,90,52,1,101,60,82,2,71,30,114,4,39,0,Mumbai Indians,0,0,1,1,1,1
35,2017,Delhi Daredevils,Kings XI Punjab,normal,68,68,90,39,0,29,60,68,0,0,30,68,0,0,0,Kings XI Punjab,0,10,1,1,1,1
36,2017,Sunrisers Hyderabad,Kolkata Knight Riders,normal,210,161,90,36,2,125,60,82,2,79,30,122,4,39,0,Sunrisers Hyderabad,48,0,0,0,0,0
37,2017,Royal Challengers Bangalore,Mumbai Indians,normal,163,165,90,47,1,118,60,74,3,91,30,114,5,51,0,Mumbai Indians,0,5,1,1,1,1
38,2017,Gujarat Lions,Rising Pune Supergiant,normal,162,167,90,37,3,130,60,67,4,100,30,102,4,65,0,Rising Pune Supergiant,0,5,1,0,0,0
39,2017,Sunrisers Hyderabad,Delhi Daredevils,normal,186,189,90,46,1,143,60,96,2,93,30,142,3,47,0,Delhi Daredevils,0,6,1,1,1,1
40,2017,Kolkata Knight Riders,Rising Pune Supergiant,normal,156,158,90,59,2,99,60,96,3,62,30,134,4,24,0,Rising Pune Supergiant,0,4,1,1,1,1
41,2017,Gujarat Lions,Delhi Daredevils,normal,209,214,90,58,1,156,60,113,1,101,30,182,3,32,0,Delhi Daredevils,0,7,1,1,1,1
42,2017,Kings XI Punjab,Royal Challengers Bangalore,normal,139,119,90,37,3,82,60,68,4,51,30,98,7,21,0,Kings XI Punjab,19,0,0,0,0,0
43,2017,Rising Pune Supergiant,Sunrisers Hyderabad,normal,149,136,90,33,2,103,60,74,2,62,30,101,4,35,0,Rising Pune Supergiant,12,0,0,0,1,1
44,2017,Mumbai Indians,Delhi Daredevils,normal,213,66,90,31,4,35,60,50,8,16,30,66,10,0,0,Mumbai Indians,146,0,0,0,0,0
45,2017,Royal Challengers Bangalore,Kolkata Knight Riders,normal,159,159,90,85,0,74,60,126,2,33,30,157,4,2,0,Kolkata Knight Riders,0,6,1,1,1,1
46,2017,Kings XI Punjab,Gujarat Lions,normal,190,192,90,49,0,143,60,103,1,89,30,148,2,44,0,Gujarat Lions,0,6,1,1,1,1
47,2017,Mumbai Indians,Sunrisers Hyderabad,normal,139,140,90,37,1,103,60,83,1,57,30,113,3,27,0,Sunrisers Hyderabad,0,7,1,1,1,1
48,2017,Kings XI Punjab,Kolkata Knight Riders,normal,168,153,90,49,1,104,60,79,3,74,30,118,3,35,0,Kings XI Punjab,14,0,0,1,1,1
49,2017,Gujarat Lions,Delhi Daredevils,normal,196,197,90,47,2,150,60,92,4,105,30,138,6,59,0,Delhi Daredevils,0,2,1,0,0,0
50,2017,Kings XI Punjab,Mumbai Indians,normal,231,223,90,52,0,171,60,108,2,115,30,148,4,75,0,Kings XI Punjab,7,0,0,1,1,0
51,2017,Delhi Daredevils,Rising Pune Supergiant,normal,169,161,90,41,2,120,60,78,3,83,30,117,3,44,0,Delhi Daredevils,7,0,0,0,1,1
