id,season,team1,team2,result,target,team2_score,balls_30,team2_30_rn,team2_30_wk,team2_30_ach,balls_60,team2_60_rn,team2_60_wk,team2_60_ach,balls_90,team2_90_rn,team2_90_wk,team2_90_ach,dl_applied,winner,win_by_runs,win_by_wickets,team2_win
1,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,normal,208,172,90,,,2,60,,,,30,,,,0,Sunrisers Hyderabad,35,0,
2,2017,Mumbai Indians,Rising Pune Supergiant,normal,,,90,,,,60,,,,30,,,,0,Rising Pune Supergiant,0,7,
3,2017,Gujarat Lions,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,0,10,
4,2017,Rising Pune Supergiant,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,0,6,
5,2017,Royal Challengers Bangalore,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,15,0,
6,2017,Gujarat Lions,Sunrisers Hyderabad,normal,,,90,,,,60,,,,30,,,,0,Sunrisers Hyderabad,0,9,
7,2017,Kolkata Knight Riders,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,0,4,
8,2017,Royal Challengers Bangalore,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,0,8,
9,2017,Delhi Daredevils,Rising Pune Supergiant,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,97,0,
10,2017,Sunrisers Hyderabad,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,0,4,
11,2017,Kings XI Punjab,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,0,8,
12,2017,Royal Challengers Bangalore,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,0,4,
13,2017,Rising Pune Supergiant,Gujarat Lions,normal,,,90,,,,60,,,,30,,,,0,Gujarat Lions,0,7,
14,2017,Kolkata Knight Riders,Sunrisers Hyderabad,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,17,0,
15,2017,Delhi Daredevils,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,51,0,
16,2017,Gujarat Lions,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,0,6,
17,2017,Rising Pune Supergiant,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Rising Pune Supergiant,27,0,
18,2017,Delhi Daredevils,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,0,4,
19,2017,Sunrisers Hyderabad,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Sunrisers Hyderabad,5,0,
20,2017,Royal Challengers Bangalore,Gujarat Lions,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,21,0,
21,2017,Sunrisers Hyderabad,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Sunrisers Hyderabad,15,0,
22,2017,Kings XI Punjab,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,0,8,
23,2017,Kolkata Knight Riders,Gujarat Lions,normal,,,90,,,,60,,,,30,,,,0,Gujarat Lions,0,4,
24,2017,Mumbai Indians,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,14,0,
25,2017,Sunrisers Hyderabad,Rising Pune Supergiant,normal,,,90,,,,60,,,,30,,,,0,Rising Pune Supergiant,0,6,
26,2017,Kings XI Punjab,Gujarat Lions,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,26,0,
27,2017,Kolkata Knight Riders,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,82,0,
28,2017,Rising Pune Supergiant,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Rising Pune Supergiant,3,0,
29,2017,Rising Pune Supergiant,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,0,7,
30,2017,Royal Challengers Bangalore,Gujarat Lions,normal,,,90,,,,60,,,,30,,,,0,Gujarat Lions,0,7,
31,2017,Delhi Daredevils,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,0,7,
32,2017,Sunrisers Hyderabad,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Sunrisers Hyderabad,26,0,
33,2017,Rising Pune Supergiant,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Rising Pune Supergiant,61,0,
34,2017,Gujarat Lions,Mumbai Indians,tie,,,90,,,,60,,,,30,,,,0,Mumbai Indians,0,0,
35,2017,Delhi Daredevils,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,0,10,
36,2017,Sunrisers Hyderabad,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Sunrisers Hyderabad,48,0,
37,2017,Royal Challengers Bangalore,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,0,5,
38,2017,Gujarat Lions,Rising Pune Supergiant,normal,,,90,,,,60,,,,30,,,,0,Rising Pune Supergiant,0,5,
39,2017,Sunrisers Hyderabad,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,6,
40,2017,Kolkata Knight Riders,Rising Pune Supergiant,normal,,,90,,,,60,,,,30,,,,0,Rising Pune Supergiant,0,4,
41,2017,Gujarat Lions,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,7,
42,2017,Kings XI Punjab,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,19,0,
43,2017,Rising Pune Supergiant,Sunrisers Hyderabad,normal,,,90,,,,60,,,,30,,,,0,Rising Pune Supergiant,12,0,
44,2017,Mumbai Indians,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,146,0,
45,2017,Royal Challengers Bangalore,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,0,6,
46,2017,Kings XI Punjab,Gujarat Lions,normal,,,90,,,,60,,,,30,,,,0,Gujarat Lions,0,6,
47,2017,Mumbai Indians,Sunrisers Hyderabad,normal,,,90,,,,60,,,,30,,,,0,Sunrisers Hyderabad,0,7,
48,2017,Kings XI Punjab,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,14,0,
49,2017,Gujarat Lions,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,2,
50,2017,Kings XI Punjab,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,7,0,
51,2017,Delhi Daredevils,Rising Pune Supergiant,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,7,0,
52,2017,Gujarat Lions,Sunrisers Hyderabad,normal,,,90,,,,60,,,,30,,,,0,Sunrisers Hyderabad,0,8,
53,2017,Mumbai Indians,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,9,0,
54,2017,Kings XI Punjab,Rising Pune Supergiant,normal,,,90,,,,60,,,,30,,,,0,Rising Pune Supergiant,0,9,
55,2017,Royal Challengers Bangalore,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,10,0,
56,2017,Rising Pune Supergiant,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Rising Pune Supergiant,20,0,
58,2017,Kolkata Knight Riders,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,0,6,
59,2017,Mumbai Indians,Rising Pune Supergiant,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,1,0,
60,2008,Kolkata Knight Riders,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,140,0,
61,2008,Chennai Super Kings,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,33,0,
62,2008,Rajasthan Royals,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,9,
63,2008,Mumbai Indians,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,0,5,
64,2008,Deccan Chargers,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,0,5,
65,2008,Kings XI Punjab,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,0,6,
66,2008,Deccan Chargers,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,9,
67,2008,Chennai Super Kings,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,6,0,
